home_team,away_team,home_team_code,away_team_code,home_score,away_score,home_penalty,away_penalty,home_score_total,away_score_total,winner,winner_reason,year,date,date_time,utc_offset_hours,group_name,matchday_name,condition_humidity,condition_pitch,condition_temperature,condition_weather,condition_wind_speed,status,type,round,round_mode,match_attendance,stadium_id,stadium_country_code,stadium_capacity,stadium_latitude,stadium_longitude,stadium_pitch_length,stadium_pitch_width,goals,penalties_missed,penalties,red_cards,game_referees,stadium_city,stadium_name,stadium_name_media,stadium_name_official,stadium_name_event,stadium_name_sponsor
Denmark,Germany,DEN,GER,2.0,0.0,,,2.0,0.0,Denmark,WIN_REGULAR,1992,1992-06-26,1992-06-26T18:15:00Z,2.0,,1,,,,,,FINISHED,SINGLE,FINAL,FINAL,37800.0,62420,SWE,39705.0,57.7059583,11.9872333,105.0,68.0,"[{'phase': 'FIRST_HALF', 'time': {'minute': 18, 'second': 1}, 'international_name': 'John Faxe Jensen', 'club_shirt_name': 'Jensen', 'country_code': 'DEN', 'national_field_position': 'MIDFIELDER', 'national_jersey_number': None, 'goal_type': 'SCORED'}, {'phase': 'SECOND_HALF', 'time': {'minute': 78, 'second': 2}, 'international_name': 'Kim Vilfort', 'club_shirt_name': 'Vilfort', 'country_code': 'DEN', 'national_field_position': '', 'national_jersey_number': None, 'goal_type': 'SCORED'}]",,,,[],Gothenburg,Ullevi,Ullevi,Ullevi,Ullevi,Ullevi
Netherlands,Denmark,NED,DEN,2.0,2.0,4.0,5.0,2.0,2.0,Denmark,WIN_ON_PENALTIES,1992,1992-06-22,1992-06-22T18:15:00Z,2.0,,1,,,,,,FINISHED,SINGLE,SEMIFINAL,KNOCK_OUT,37450.0,62420,SWE,39705.0,57.7059583,11.9872333,105.0,68.0,"[{'phase': 'FIRST_HALF', 'time': {'minute': 5, 'second': 1}, 'international_name': 'Henrik Larsen', 'club_shirt_name': 'Larsen', 'country_code': 'DEN', 'national_field_position': '', 'national_jersey_number': None, 'goal_type': 'SCORED'}, {'phase': 'FIRST_HALF', 'time': {'minute': 23, 'second': 2}, 'international_name': 'Dennis Bergkamp', 'club_shirt_name': '', 'country_code': 'NED', 'national_field_position': 'FORWARD', 'national_jersey_number': None, 'goal_type': 'SCORED'}, {'phase': 'FIRST_HALF', 'time': {'minute': 33, 'second': 3}, 'international_name': 'Henrik Larsen', 'club_shirt_name': 'Larsen', 'country_code': 'DEN', 'national_field_position': '', 'national_jersey_number': None, 'goal_type': 'SCORED'}, {'phase': 'SECOND_HALF', 'time': {'minute': 86, 'second': 4}, 'international_name': 'Frank Rijkaard', 'club_shirt_name': 'Rijkaard', 'country_code': 'NED', 'national_field_position': 'DEFENDER', 'national_jersey_number': None, 'goal_type': 'SCORED'}]",,"[{'phase': 'PENALTY', 'time': {}, 'international_name': 'Ronald Koeman', 'club_shirt_name': '', 'country_code': 'NED', 'national_field_position': '', 'national_jersey_number': None, 'penalty_type': 'SCORED'}, {'phase': 'PENALTY', 'time': {}, 'international_name': 'Henrik Larsen', 'club_shirt_name': 'Larsen', 'country_code': 'DEN', 'national_field_position': '', 'national_jersey_number': None, 'penalty_type': 'SCORED'}, {'phase': 'PENALTY', 'time': {}, 'international_name': 'Flemming Povlsen', 'club_shirt_name': 'Povlsen', 'country_code': 'DEN', 'national_field_position': '', 'national_jersey_number': None, 'penalty_type': 'SCORED'}, {'phase': 'PENALTY', 'time': {}, 'international_name': 'Dennis Bergkamp', 'club_shirt_name': '', 'country_code': 'NED', 'national_field_position': 'FORWARD', 'national_jersey_number': None, 'penalty_type': 'SCORED'}, {'phase': 'PENALTY', 'time': {}, 'international_name': 'Lars Elstrup', 'club_shirt_name': 'Elstrup', 'country_code': 'DEN', 'national_field_position': '', 'national_jersey_number': None, 'penalty_type': 'SCORED'}, {'phase': 'PENALTY', 'time': {}, 'international_name': 'Frank Rijkaard', 'club_shirt_name': 'Rijkaard', 'country_code': 'NED', 'national_field_position': 'DEFENDER', 'national_jersey_number': None, 'penalty_type': 'SCORED'}, {'phase': 'PENALTY', 'time': {}, 'international_name': 'Kim Vilfort', 'club_shirt_name': 'Vilfort', 'country_code': 'DEN', 'national_field_position': '', 'national_jersey_number': None, 'penalty_type': 'SCORED'}, {'phase': 'PENALTY', 'time': {}, 'international_name': 'Rob Witschge', 'club_shirt_name': 'Witschge', 'country_code': 'NED', 'national_field_position': '', 'national_jersey_number': None, 'penalty_type': 'SCORED'}, {'phase': 'PENALTY', 'time': {}, 'international_name': 'Kim Christofte', 'club_shirt_name': 'Christofte', 'country_code': 'DEN', 'national_field_position': '', 'national_jersey_number': None, 'penalty_type': 'SCORED'}]",,[],Gothenburg,Ullevi,Ullevi,Ullevi,Ullevi,Ullevi
Sweden,Germany,SWE,GER,2.0,3.0,,,2.0,3.0,Germany,WIN_REGULAR,1992,1992-06-21,1992-06-21T18:15:00Z,2.0,,1,,,,,,FINISHED,SINGLE,SEMIFINAL,KNOCK_OUT,27827.0,57672,SWE,35572.0,59.3627111,17.9962972,105.0,68.0,"[{'phase': 'FIRST_HALF', 'time': {'minute': 11, 'second': 1}, 'international_name': 'Thomas Hässler', 'club_shirt_name': 'Hässler', 'country_code': 'GER', 'national_field_position': 'MIDFIELDER', 'national_jersey_number': None, 'goal_type': 'SCORED'}, {'phase': 'SECOND_HALF', 'time': {'minute': 59, 'second': 2}, 'international_name': 'Karlheinz Riedle', 'club_shirt_name': 'Riedle', 'country_code': 'GER', 'national_field_position': 'FORWARD', 'national_jersey_number': None, 'goal_type': 'SCORED'}, {'phase': 'SECOND_HALF', 'time': {'minute': 64, 'second': 3}, 'international_name': 'Tomas Brolin', 'club_shirt_name': 'Brolin', 'country_code': 'SWE', 'national_field_position': 'FORWARD', 'national_jersey_number': None, 'goal_type': 'PENALTY'}, {'phase': 'SECOND_HALF', 'time': {'minute': 88, 'second': 4}, 'international_name': 'Karlheinz Riedle', 'club_shirt_name': 'Riedle', 'country_code': 'GER', 'national_field_position': 'FORWARD', 'national_jersey_number': None, 'goal_type': 'SCORED'}, {'phase': 'SECOND_HALF', 'time': {'minute': 89, 'second': 5}, 'international_name': 'Kennet Andersson', 'club_shirt_name': 'Andersson', 'country_code': 'SWE', 'national_field_position': 'FORWARD', 'national_jersey_number': None, 'goal_type': 'SCORED'}]",,,,[],Solna,Råsunda,Råsundastadion,Råsunda,Råsunda,Råsunda
Scotland,Commonwealth of Independent States,SCO,CIS,3.0,0.0,,,3.0,0.0,Scotland,WIN_REGULAR,1992,1992-06-18,1992-06-18T18:15:00Z,2.0,Group 2,1,,,,,,FINISHED,GROUP_STAGE,GROUP_STANDINGS,GROUP,14660.0,63092,SWE,10227.0,58.584325,16.1730389,105.0,68.0,"[{'phase': 'FIRST_HALF', 'time': {'minute': 7, 'second': 1}, 'international_name': 'Paul McStay', 'club_shirt_name': 'McStay', 'country_code': 'SCO', 'national_field_position': '', 'national_jersey_number': None, 'goal_type': 'SCORED'}, {'phase': 'FIRST_HALF', 'time': {'minute': 16, 'second': 2}, 'international_name': 'Brian McClair', 'club_shirt_name': 'MC CLAIR', 'country_code': 'SCO', 'national_field_position': 'FORWARD', 'national_jersey_number': None, 'goal_type': 'SCORED'}, {'phase': 'SECOND_HALF', 'time': {'minute': 84, 'second': 3}, 'international_name': 'Gary McAllister', 'club_shirt_name': '', 'country_code': 'SCO', 'national_field_position': 'MIDFIELDER', 'national_jersey_number': None, 'goal_type': 'PENALTY'}]",,,,[],Norrkoping,NYA Parken,Norrköpings Idrottsparken,NYA Parken,NYA Parken,Östgötaporten
Netherlands,Germany,NED,GER,3.0,1.0,,,3.0,1.0,Netherlands,WIN_REGULAR,1992,1992-06-18,1992-06-18T18:15:00Z,2.0,Group 2,1,,,,,,FINISHED,GROUP_STAGE,GROUP_STANDINGS,GROUP,37725.0,62420,SWE,39705.0,57.7059583,11.9872333,105.0,68.0,"[{'phase': 'FIRST_HALF', 'time': {'minute': 4, 'second': 1}, 'international_name': 'Frank Rijkaard', 'club_shirt_name': 'Rijkaard', 'country_code': 'NED', 'national_field_position': 'DEFENDER', 'national_jersey_number': None, 'goal_type': 'SCORED'}, {'phase': 'FIRST_HALF', 'time': {'minute': 15, 'second': 2}, 'international_name': 'Rob Witschge', 'club_shirt_name': 'Witschge', 'country_code': 'NED', 'national_field_position': '', 'national_jersey_number': None, 'goal_type': 'SCORED'}, {'phase': 'SECOND_HALF', 'time': {'minute': 53, 'second': 3}, 'international_name': 'Jürgen Klinsmann', 'club_shirt_name': 'Klinsmann', 'country_code': 'GER', 'national_field_position': 'FORWARD', 'national_jersey_number': None, 'goal_type': 'SCORED'}, {'phase': 'SECOND_HALF', 'time': {'minute': 72, 'second': 4}, 'international_name': 'Dennis Bergkamp', 'club_shirt_name': '', 'country_code': 'NED', 'national_field_position': 'FORWARD', 'national_jersey_number': None, 'goal_type': 'SCORED'}]",,,,[],Gothenburg,Ullevi,Ullevi,Ullevi,Ullevi,Ullevi
France,Denmark,FRA,DEN,1.0,2.0,,,1.0,2.0,Denmark,WIN_REGULAR,1992,1992-06-17,1992-06-17T18:15:00Z,2.0,Group 1,1,,,,,,FINISHED,GROUP_STAGE,GROUP_STANDINGS,GROUP,25763.0,53480,SWE,1541.0,55.5948906,12.9956894,105.0,65.0,"[{'phase': 'FIRST_HALF', 'time': {'minute': 8, 'second': 1}, 'international_name': 'Henrik Larsen', 'club_shirt_name': 'Larsen', 'country_code': 'DEN', 'national_field_position': '', 'national_jersey_number': None, 'goal_type': 'SCORED'}, {'phase': 'SECOND_HALF', 'time': {'minute': 60, 'second': 2}, 'international_name': 'Jean-Pierre Papin', 'club_shirt_name': 'Papin', 'country_code': 'FRA', 'national_field_position': 'FORWARD', 'national_jersey_number': None, 'goal_type': 'SCORED'}, {'phase': 'SECOND_HALF', 'time': {'minute': 78, 'second': 3}, 'international_name': 'Lars Elstrup', 'club_shirt_name': 'Elstrup', 'country_code': 'DEN', 'national_field_position': '', 'national_jersey_number': None, 'goal_type': 'SCORED'}]",,,,[],Malmö,Malmö Idrottsplats,Malmö Idrottsplats,Malmö Idrottsplats,Malmö Idrottsplats,Malmö Idrottsplats
Sweden,England,SWE,ENG,2.0,1.0,,,2.0,1.0,Sweden,WIN_REGULAR,1992,1992-06-17,1992-06-17T18:15:00Z,2.0,Group 1,1,,,,,,FINISHED,GROUP_STAGE,GROUP_STANDINGS,GROUP,30126.0,57672,SWE,35572.0,59.3627111,17.9962972,105.0,68.0,"[{'phase': 'FIRST_HALF', 'time': {'minute': 4, 'second': 1}, 'international_name': 'David Platt', 'club_shirt_name': 'Platt', 'country_code': 'ENG', 'national_field_position': 'MIDFIELDER', 'national_jersey_number': None, 'goal_type': 'SCORED'}, {'phase': 'SECOND_HALF', 'time': {'minute': 51, 'second': 2}, 'international_name': 'Jan Eriksson', 'club_shirt_name': 'Eriksson', 'country_code': 'SWE', 'national_field_position': 'DEFENDER', 'national_jersey_number': None, 'goal_type': 'SCORED'}, {'phase': 'SECOND_HALF', 'time': {'minute': 82, 'second': 3}, 'international_name': 'Tomas Brolin', 'club_shirt_name': 'Brolin', 'country_code': 'SWE', 'national_field_position': 'FORWARD', 'national_jersey_number': None, 'goal_type': 'SCORED'}]",,,,[],Solna,Råsunda,Råsundastadion,Råsunda,Råsunda,Råsunda
Netherlands,Commonwealth of Independent States,NED,CIS,0.0,0.0,,,0.0,0.0,,DRAW,1992,1992-06-15,1992-06-15T18:15:00Z,2.0,Group 2,1,,,,,,FINISHED,GROUP_STAGE,GROUP_STANDINGS,GROUP,34440.0,62420,SWE,39705.0,57.7059583,11.9872333,105.0,68.0,,,,,[],Gothenburg,Ullevi,Ullevi,Ullevi,Ullevi,Ullevi
Scotland,Germany,SCO,GER,0.0,2.0,,,0.0,2.0,Germany,WIN_REGULAR,1992,1992-06-15,1992-06-15T15:15:00Z,2.0,Group 2,1,,,,,,FINISHED,GROUP_STAGE,GROUP_STANDINGS,GROUP,17800.0,63092,SWE,10227.0,58.584325,16.1730389,105.0,68.0,"[{'phase': 'FIRST_HALF', 'time': {'minute': 29, 'second': 1}, 'international_name': 'Karlheinz Riedle', 'club_shirt_name': 'Riedle', 'country_code': 'GER', 'national_field_position': 'FORWARD', 'national_jersey_number': None, 'goal_type': 'SCORED'}, {'phase': 'SECOND_HALF', 'time': {'minute': 47, 'second': 2}, 'international_name': 'Stefan Effenberg', 'club_shirt_name': 'Effenberg', 'country_code': 'GER', 'national_field_position': 'MIDFIELDER', 'national_jersey_number': None, 'goal_type': 'SCORED'}]",,,,[],Norrkoping,NYA Parken,Norrköpings Idrottsparken,NYA Parken,NYA Parken,Östgötaporten
Sweden,Denmark,SWE,DEN,1.0,0.0,,,1.0,0.0,Sweden,WIN_REGULAR,1992,1992-06-14,1992-06-14T18:15:00Z,2.0,Group 1,1,,,,,,FINISHED,GROUP_STAGE,GROUP_STANDINGS,GROUP,29902.0,57672,SWE,35572.0,59.3627111,17.9962972,105.0,68.0,"[{'phase': 'SECOND_HALF', 'time': {'minute': 58, 'second': 1}, 'international_name': 'Tomas Brolin', 'club_shirt_name': 'Brolin', 'country_code': 'SWE', 'national_field_position': 'FORWARD', 'national_jersey_number': None, 'goal_type': 'SCORED'}]",,,,[],Solna,Råsunda,Råsundastadion,Råsunda,Råsunda,Råsunda
France,England,FRA,ENG,0.0,0.0,,,0.0,0.0,,DRAW,1992,1992-06-14,1992-06-14T15:15:00Z,2.0,Group 1,1,,,,,,FINISHED,GROUP_STAGE,GROUP_STANDINGS,GROUP,26535.0,53480,SWE,1541.0,55.5948906,12.9956894,105.0,65.0,,,,,[],Malmö,Malmö Idrottsplats,Malmö Idrottsplats,Malmö Idrottsplats,Malmö Idrottsplats,Malmö Idrottsplats
Commonwealth of Independent States,Germany,CIS,GER,1.0,1.0,,,1.0,1.0,,DRAW,1992,1992-06-12,1992-06-12T18:15:00Z,2.0,Group 2,1,,,,,,FINISHED,GROUP_STAGE,GROUP_STANDINGS,GROUP,17700.0,63092,SWE,10227.0,58.584325,16.1730389,105.0,68.0,"[{'phase': 'SECOND_HALF', 'time': {'minute': 64, 'second': 1}, 'international_name': 'Igor Dobrovolski', 'club_shirt_name': '', 'country_code': 'RUS', 'national_field_position': '', 'national_jersey_number': None, 'goal_type': 'SCORED'}, {'phase': 'SECOND_HALF', 'time': {'minute': 90, 'second': 2}, 'international_name': 'Thomas Hässler', 'club_shirt_name': 'Hässler', 'country_code': 'GER', 'national_field_position': 'MIDFIELDER', 'national_jersey_number': None, 'goal_type': 'SCORED'}]",,,,[],Norrkoping,NYA Parken,Norrköpings Idrottsparken,NYA Parken,NYA Parken,Östgötaporten
Netherlands,Scotland,NED,SCO,1.0,0.0,,,1.0,0.0,Netherlands,WIN_REGULAR,1992,1992-06-12,1992-06-12T15:15:00Z,2.0,Group 2,1,,,,,,FINISHED,GROUP_STAGE,GROUP_STANDINGS,GROUP,35720.0,62420,SWE,39705.0,57.7059583,11.9872333,105.0,68.0,"[{'phase': 'SECOND_HALF', 'time': {'minute': 75, 'second': 1}, 'international_name': 'Dennis Bergkamp', 'club_shirt_name': '', 'country_code': 'NED', 'national_field_position': 'FORWARD', 'national_jersey_number': None, 'goal_type': 'SCORED'}]",,,,[],Gothenburg,Ullevi,Ullevi,Ullevi,Ullevi,Ullevi
Denmark,England,DEN,ENG,0.0,0.0,,,0.0,0.0,,DRAW,1992,1992-06-11,1992-06-11T18:15:00Z,2.0,Group 1,1,,,,,,FINISHED,GROUP_STAGE,GROUP_STANDINGS,GROUP,26385.0,53480,SWE,1541.0,55.5948906,12.9956894,105.0,65.0,,,,,[],Malmö,Malmö Idrottsplats,Malmö Idrottsplats,Malmö Idrottsplats,Malmö Idrottsplats,Malmö Idrottsplats
Sweden,France,SWE,FRA,1.0,1.0,,,1.0,1.0,,DRAW,1992,1992-06-10,1992-06-10T18:15:00Z,2.0,Group 1,1,,,,,,FINISHED,GROUP_STAGE,GROUP_STANDINGS,GROUP,30000.0,57672,SWE,35572.0,59.3627111,17.9962972,105.0,68.0,"[{'phase': 'FIRST_HALF', 'time': {'minute': 24, 'second': 1}, 'international_name': 'Jan Eriksson', 'club_shirt_name': 'Eriksson', 'country_code': 'SWE', 'national_field_position': 'DEFENDER', 'national_jersey_number': None, 'goal_type': 'SCORED'}, {'phase': 'SECOND_HALF', 'time': {'minute': 58, 'second': 2}, 'international_name': 'Jean-Pierre Papin', 'club_shirt_name': 'Papin', 'country_code': 'FRA', 'national_field_position': 'FORWARD', 'national_jersey_number': None, 'goal_type': 'SCORED'}]",,,,[],Solna,Råsunda,Råsundastadion,Råsunda,Råsunda,Råsunda
