Pos,Player,Club,Country
GK,Manuel Neuer,Bayern Munich,Germany
DF,Antonio Rüdiger,Real Madrid,Germany
DF,David Raum,RB Leipzig,Germany
DF,Jonathan Tah,Bayer Leverkusen,Germany
MF,Pascal Groß,Brighton & Hove Albion,Germany
DF,Joshua Kimmich,Bayern Munich,Germany
FW,Kai Havertz,Arsenal,Germany
MF,Toni Kroos,Real Madrid,Germany
FW,Niclas Füllkrug,Borussia Dortmund,Germany
MF,Jamal Musiala,Bayern Munich,Germany
MF,Chris Führich,VfB Stuttgart,Germany
GK,Oliver Baumann,TSG Hoffenheim,Germany
FW,Thomas Müller,Bayern Munich,Germany
FW,Maximilian Beier,TSG Hoffenheim,Germany
DF,Nico Schlotterbeck,Borussia Dortmund,Germany
DF,Waldemar Anton,VfB Stuttgart,Germany
MF,Florian Wirtz,Bayer Leverkusen,Germany
DF,Maximilian Mittelstädt,VfB Stuttgart,Germany
MF,Leroy Sané,Bayern Munich,Germany
DF,Benjamin Henrichs,RB Leipzig,Germany
MF,İlkay Gündoğan (captain),Barcelona,Germany
GK,Marc-André ter Stegen,Barcelona,Germany
MF,Robert Andrich,Bayer Leverkusen,Germany
DF,Robin Koch,Eintracht Frankfurt,Germany
MF,Emre Can,Borussia Dortmund,Germany
FW,Deniz Undav,VfB Stuttgart,Germany
GK,Angus Gunn,Norwich City,Scotland
DF,Anthony Ralston,Celtic,Scotland
DF,Andrew Robertson (captain),Liverpool,Scotland
MF,Scott McTominay,Manchester United,Scotland
DF,Grant Hanley,Norwich City,Scotland
DF,Kieran Tierney,Real Sociedad,Scotland
MF,John McGinn,Aston Villa,Scotland
MF,Callum McGregor,Celtic,Scotland
FW,Lawrence Shankland,Heart of Midlothian,Scotland
FW,Ché Adams,Southampton,Scotland
FW,Ryan Christie,Bournemouth,Scotland
GK,Liam Kelly,Motherwell,Scotland
DF,Jack Hendry,Al-Ettifaq,Scotland
MF,Billy Gilmour,Brighton & Hove Albion,Scotland
DF,Ryan Porteous,Watford,Scotland
DF,Liam Cooper,Leeds United,Scotland
MF,Stuart Armstrong,Southampton,Scotland
MF,Lewis Morgan,New York Red Bulls,Scotland
FW,Tommy Conway,Bristol City,Scotland
MF,Ryan Jack,Rangers,Scotland
GK,Zander Clark,Heart of Midlothian,Scotland
DF,Ross McCrorie,Bristol City,Scotland
MF,Kenny McLean,Norwich City,Scotland
DF,Greg Taylor,Celtic,Scotland
MF,James Forrest,Celtic,Scotland
DF,Scott McKenna,Copenhagen,Scotland
GK,Péter Gulácsi,RB Leipzig,Hungary
DF,Ádám Lang,Omonia,Hungary
DF,Botond Balogh,Parma,Hungary
DF,Attila Szalai,SC Freiburg,Hungary
DF,Attila Fiola,Fehérvár,Hungary
DF,Willi Orbán,RB Leipzig,Hungary
DF,Loïc Négo,Le Havre,Hungary
MF,Ádám Nagy,Spezia,Hungary
FW,Martin Ádám,Ulsan HD,Hungary
MF,Dominik Szoboszlai (captain),Liverpool,Hungary
DF,Milos Kerkez,Bournemouth,Hungary
GK,Dénes Dibusz,Ferencváros,Hungary
MF,András Schäfer,Union Berlin,Hungary
DF,Bendegúz Bolla,Servette,Hungary
MF,László Kleinheisler,Hajduk Split,Hungary
MF,Dániel Gazdag,Philadelphia Union,Hungary
MF,Callum Styles,Sunderland,Hungary
DF,Zsolt Nagy,Puskás Akadémia,Hungary
FW,Barnabás Varga,Ferencváros,Hungary
FW,Roland Sallai,SC Freiburg,Hungary
DF,Endre Botka,Ferencváros,Hungary
GK,Péter Szappanos,Paks,Hungary
FW,Kevin Csoboth,Újpest,Hungary
DF,Márton Dárdai,Hertha BSC,Hungary
FW,Krisztofer Horváth,Kecskemét,Hungary
MF,Mihály Kata,MTK Budapest,Hungary
GK,Yann Sommer,Inter Milan,Switzerland
DF,Leonidas Stergiou,VfB Stuttgart,Switzerland
DF,Silvan Widmer,Mainz 05,Switzerland
DF,Nico Elvedi,Borussia Mönchengladbach,Switzerland
DF,Manuel Akanji,Manchester City,Switzerland
MF,Denis Zakaria,Monaco[a],Switzerland
FW,Breel Embolo,Monaco[a],Switzerland
MF,Remo Freuler,Bologna,Switzerland
FW,Noah Okafor,Milan,Switzerland
MF,Granit Xhaka (captain),Bayer Leverkusen,Switzerland
MF,Renato Steffen,Lugano,Switzerland
GK,Yvon Mvogo,Lorient,Switzerland
DF,Ricardo Rodriguez,Torino,Switzerland
MF,Steven Zuber,AEK Athens,Switzerland
DF,Cédric Zesiger,VfL Wolfsburg,Switzerland
MF,Vincent Sierro,Toulouse,Switzerland
MF,Ruben Vargas,FC Augsburg,Switzerland
FW,Kwadwo Duah,Ludogorets Razgrad,Switzerland
FW,Dan Ndoye,Bologna,Switzerland
MF,Michel Aebischer,Bologna,Switzerland
GK,Gregor Kobel,Borussia Dortmund,Switzerland
DF,Fabian Schär,Newcastle United,Switzerland
MF,Xherdan Shaqiri,Chicago Fire,Switzerland
MF,Ardon Jashari,Luzern,Switzerland
FW,Zeki Amdouni,Burnley,Switzerland
MF,Fabian Rieder,Rennes,Switzerland
GK,David Raya,Arsenal,Spain
DF,Dani Carvajal,Real Madrid,Spain
DF,Robin Le Normand,Real Sociedad,Spain
DF,Nacho,Real Madrid,Spain
DF,Daniel Vivian,Athletic Bilbao,Spain
MF,Mikel Merino,Real Sociedad,Spain
FW,Álvaro Morata (captain),Atlético Madrid,Spain
MF,Fabián Ruiz,Paris Saint-Germain,Spain
FW,Joselu,Real Madrid,Spain
MF,Dani Olmo,RB Leipzig,Spain
FW,Ferran Torres,Barcelona,Spain
DF,Álex Grimaldo,Bayer Leverkusen,Spain
GK,Álex Remiro,Real Sociedad,Spain
DF,Aymeric Laporte,Al Nassr,Spain
MF,Álex Baena,Villarreal,Spain
MF,Rodri,Manchester City,Spain
MF,Nico Williams,Athletic Bilbao,Spain
MF,Martín Zubimendi,Real Sociedad,Spain
FW,Lamine Yamal,Barcelona,Spain
MF,Pedri,Barcelona,Spain
MF,Mikel Oyarzabal,Real Sociedad,Spain
DF,Jesús Navas,Sevilla,Spain
GK,Unai Simón,Athletic Bilbao,Spain
DF,Marc Cucurella,Chelsea,Spain
MF,Fermín López,Barcelona,Spain
FW,Ayoze Pérez,Real Betis,Spain
GK,Dominik Livaković,Fenerbahçe,Croatia
DF,Josip Stanišić,Bayer Leverkusen,Croatia
DF,Marin Pongračić,Lecce,Croatia
DF,Joško Gvardiol,Manchester City,Croatia
DF,Martin Erlić,Sassuolo,Croatia
DF,Josip Šutalo,Ajax,Croatia
MF,Lovro Majer,VfL Wolfsburg,Croatia
MF,Mateo Kovačić,Manchester City,Croatia
FW,Andrej Kramarić,TSG Hoffenheim,Croatia
MF,Luka Modrić (captain),Real Madrid,Croatia
MF,Marcelo Brozović,Al Nassr,Croatia
GK,Nediljko Labrović,Rijeka,Croatia
MF,Nikola Vlašić,Torino,Croatia
FW,Ivan Perišić,Hajduk Split,Croatia
MF,Mario Pašalić,Atalanta,Croatia
FW,Ante Budimir,Osasuna,Croatia
FW,Bruno Petković,Dinamo Zagreb,Croatia
FW,Luka Ivanušec,Feyenoord,Croatia
DF,Borna Sosa,Ajax,Croatia
FW,Marko Pjaca,Rijeka,Croatia
DF,Domagoj Vida,AEK Athens,Croatia
DF,Josip Juranović,Union Berlin,Croatia
GK,Ivica Ivušić,Pafos,Croatia
FW,Marco Pašalić,Rijeka,Croatia
MF,Luka Sučić,Red Bull Salzburg,Croatia
MF,Martin Baturina,Dinamo Zagreb,Croatia
GK,Gianluigi Donnarumma (captain),Paris Saint-Germain,Italy
DF,Giovanni Di Lorenzo,Napoli,Italy
DF,Federico Dimarco,Inter Milan,Italy
DF,Alessandro Buongiorno,Torino,Italy
DF,Riccardo Calafiori,Bologna,Italy
DF,Federico Gatti,Juventus,Italy
MF,Davide Frattesi,Inter Milan,Italy
MF,Jorginho,Arsenal,Italy
FW,Gianluca Scamacca,Atalanta,Italy
MF,Lorenzo Pellegrini,Roma,Italy
FW,Giacomo Raspadori,Napoli,Italy
GK,Guglielmo Vicario,Tottenham Hotspur,Italy
DF,Matteo Darmian,Inter Milan,Italy
FW,Federico Chiesa,Juventus,Italy
DF,Raoul Bellanova,Torino,Italy
MF,Bryan Cristante,Roma,Italy
DF,Gianluca Mancini,Roma,Italy
MF,Nicolò Barella,Inter Milan,Italy
FW,Mateo Retegui,Genoa,Italy
FW,Mattia Zaccagni,Lazio,Italy
MF,Nicolò Fagioli,Juventus,Italy
FW,Stephan El Shaarawy,Roma,Italy
DF,Alessandro Bastoni,Inter Milan,Italy
DF,Andrea Cambiaso,Juventus,Italy
MF,Michael Folorunsho,Hellas Verona,Italy
GK,Alex Meret,Napoli,Italy
GK,Etrit Berisha,Empoli,Albania
DF,Iván Balliu,Rayo Vallecano,Albania
DF,Mario Mitaj,Lokomotiv Moscow,Albania
DF,Elseid Hysaj,Lazio,Albania
DF,Arlind Ajeti,CFR Cluj,Albania
DF,Berat Djimsiti (captain),Atalanta,Albania
FW,Rey Manaj,Sivasspor,Albania
MF,Klaus Gjasula,Darmstadt 98,Albania
FW,Jasir Asani,Gwangju,Albania
MF,Nedim Bajrami,Sassuolo,Albania
FW,Armando Broja,Fulham,Albania
GK,Elhan Kastrati,Cittadella,Albania
DF,Enea Mihaj,Famalicão,Albania
MF,Qazim Laçi,Sparta Prague,Albania
MF,Taulant Seferi,Baniyas,Albania
FW,Medon Berisha,Lecce,Albania
FW,Ernest Muçi,Beşiktaş,Albania
DF,Ardian Ismajli,Empoli,Albania
FW,Mirlind Daku,Rubin Kazan,Albania
MF,Ylber Ramadani,Lecce,Albania
MF,Kristjan Asllani,Inter Milan,Albania
MF,Amir Abrashi,Grasshoppers,Albania
GK,Thomas Strakosha,Brentford,Albania
DF,Marash Kumbulla,Sassuolo,Albania
DF,Naser Aliji,Voluntari,Albania
FW,Arbër Hoxha,Dinamo Zagreb,Albania
GK,Jan Oblak (captain),Atlético Madrid,Slovenia
DF,Žan Karničnik,Celje,Slovenia
DF,Jure Balkovec,Alanyaspor,Slovenia
DF,Miha Blažič,Lech Poznań,Slovenia
MF,Jon Gorenc Stanković,Sturm Graz,Slovenia
DF,Jaka Bijol,Udinese,Slovenia
MF,Benjamin Verbič,Panathinaikos,Slovenia
MF,Sandi Lovrić,Udinese,Slovenia
FW,Andraž Šporar,Panathinaikos,Slovenia
MF,Timi Max Elšnik,Olimpija Ljubljana,Slovenia
FW,Benjamin Šeško,RB Leipzig,Slovenia
GK,Vid Belec,APOEL,Slovenia
DF,Erik Janža,Górnik Zabrze,Slovenia
MF,Jasmin Kurtić,Südtirol,Slovenia
MF,Tomi Horvat,Sturm Graz,Slovenia
GK,Igor Vekić,Vejle,Slovenia
FW,Jan Mlakar,Pisa,Slovenia
FW,Žan Vipotnik,Bordeaux,Slovenia
FW,Žan Celar,Lugano,Slovenia
DF,Petar Stojanović,Sampdoria,Slovenia
DF,Vanja Drkušić,Sochi,Slovenia
MF,Adam Gnezda Čerin,Panathinaikos,Slovenia
DF,David Brekalo,Orlando City,Slovenia
MF,Nino Žugelj,Bodø/Glimt,Slovenia
MF,Adrian Zeljković,Spartak Trnava,Slovenia
FW,Josip Iličić,Maribor,Slovenia
GK,Kasper Schmeichel,Anderlecht,Denmark
DF,Joachim Andersen,Crystal Palace,Denmark
DF,Jannik Vestergaard,Leicester City,Denmark
DF,Simon Kjær (captain),Milan,Denmark
DF,Joakim Mæhle,VfL Wolfsburg,Denmark
DF,Andreas Christensen,Barcelona,Denmark
MF,Mathias Jensen,Brentford,Denmark
MF,Thomas Delaney,Anderlecht,Denmark
FW,Rasmus Højlund,Manchester United,Denmark
MF,Christian Eriksen,Manchester United,Denmark
FW,Andreas Skov Olsen,Club Brugge,Denmark
FW,Kasper Dolberg,Anderlecht,Denmark
DF,Mathias Jørgensen,Brentford,Denmark
MF,Mikkel Damsgaard,Brentford,Denmark
MF,Christian Nørgaard,Brentford,Denmark
GK,Mads Hermansen,Leicester City,Denmark
DF,Victor Kristiansen,Bologna,Denmark
DF,Alexander Bah,Benfica,Denmark
FW,Jonas Wind,VfL Wolfsburg,Denmark
FW,Yussuf Poulsen,RB Leipzig,Denmark
MF,Morten Hjulmand,Sporting CP,Denmark
GK,Frederik Rønnow,Union Berlin,Denmark
MF,Pierre-Emile Højbjerg,Tottenham Hotspur,Denmark
MF,Anders Dreyer,Anderlecht,Denmark
DF,Rasmus Kristensen,Roma,Denmark
FW,Jacob Bruun Larsen,Burnley,Denmark
GK,Predrag Rajković,Mallorca,Serbia
DF,Strahinja Pavlović,Red Bull Salzburg,Serbia
DF,Nemanja Stojić,TSC,Serbia
DF,Nikola Milenković,Fiorentina,Serbia
MF,Nemanja Maksimović,Getafe,Serbia
MF,Nemanja Gudelj,Sevilla,Serbia
FW,Dušan Vlahović,Juventus,Serbia
FW,Luka Jović,Milan,Serbia
FW,Aleksandar Mitrović,Al Hilal,Serbia
FW,Dušan Tadić (captain),Fenerbahçe,Serbia
FW,Filip Kostić,Juventus,Serbia
GK,Đorđe Petrović,Chelsea,Serbia
DF,Miloš Veljković,Werder Bremen,Serbia
FW,Andrija Živković,PAOK,Serbia
DF,Srđan Babić,Spartak Moscow,Serbia
MF,Srđan Mijailović,Red Star Belgrade,Serbia
MF,Ivan Ilić,Torino,Serbia
FW,Petar Ratkov,Red Bull Salzburg,Serbia
MF,Lazar Samardžić,Udinese,Serbia
MF,Sergej Milinković-Savić,Al Hilal,Serbia
MF,Mijat Gaćinović,AEK Athens,Serbia
MF,Saša Lukić,Fulham,Serbia
GK,Vanja Milinković-Savić,Torino,Serbia
DF,Uroš Spajić,Red Star Belgrade,Serbia
DF,Filip Mladenović,Panathinaikos,Serbia
MF,Veljko Birmančević,Sparta Prague,Serbia
GK,Jordan Pickford,Everton,England
DF,Kyle Walker,Manchester City,England
DF,Luke Shaw,Manchester United,England
MF,Declan Rice,Arsenal,England
DF,John Stones,Manchester City,England
DF,Marc Guéhi,Crystal Palace,England
FW,Bukayo Saka,Arsenal,England
DF,Trent Alexander-Arnold,Liverpool,England
FW,Harry Kane (captain),Bayern Munich,England
MF,Jude Bellingham,Real Madrid,England
MF,Phil Foden,Manchester City,England
DF,Kieran Trippier,Newcastle United,England
GK,Aaron Ramsdale,Arsenal,England
DF,Ezri Konsa,Aston Villa,England
DF,Lewis Dunk,Brighton & Hove Albion,England
MF,Conor Gallagher,Chelsea,England
FW,Ivan Toney,Brentford,England
FW,Anthony Gordon,Newcastle United,England
FW,Ollie Watkins,Aston Villa,England
FW,Jarrod Bowen,West Ham United,England
MF,Eberechi Eze,Crystal Palace,England
DF,Joe Gomez,Liverpool,England
GK,Dean Henderson,Crystal Palace,England
MF,Cole Palmer,Chelsea,England
MF,Adam Wharton,Crystal Palace,England
MF,Kobbie Mainoo,Manchester United,England
GK,Wojciech Szczęsny,Juventus,Poland
DF,Bartosz Salamon,Lech Poznań,Poland
DF,Paweł Dawidowicz,Hellas Verona,Poland
DF,Sebastian Walukiewicz,Empoli,Poland
DF,Jan Bednarek,Southampton,Poland
MF,Jakub Piotrowski,Ludogorets Razgrad,Poland
