hometeamname,awayteamname,dateandtimecet,matchid,roundname,matchday,session,matchminute,injurytime,numberofphases,phase,scorehome,scoreaway,matchstatus,stadiumid,refereewebname,assistantrefereewebname,humidity,temperature,windspeed
Turkey,Italy,2021-06-11T21:00:00,2024447,final tournament,1,1,90,4,2,2,0,3,Played,57775,Makkelie,Steegstra,63,24,9
Wales,Switzerland,2021-06-12T15:00:00,2024448,final tournament,1,2,90,6,2,2,1,1,Played,250002745,Turpin,Danos,45,29,23
Denmark,Finland,2021-06-12T18:00:00,2024449,final tournament,1,2,90,5,2,2,0,1,Played,63462,Taylor,Beswick,48,17,32
Belgium,Russia,2021-06-12T21:00:00,2024450,final tournament,1,2,90,2,2,2,3,0,Played,250003363,Mateu Lahoz,Cebrián Devís,23,19,8
England,Croatia,2021-06-13T15:00:00,2024451,final tournament,1,3,90,5,2,2,1,0,Played,1100043,Orsato,Giallatini,46,27,11
Austria,North Macedonia,2021-06-13T18:00:00,2024442,final tournament,1,3,90,5,2,2,3,1,Played,250001298,Ekberg,Culum,76,19,5
Netherlands,Ukraine,2021-06-13T21:00:00,2024441,final tournament,1,3,90,6,2,2,3,2,Played,62417,Brych,Borsch,46,23,7
Scotland,Czech Republic,2021-06-14T15:00:00,2024452,final tournament,1,4,45,0,2,2,0,2,Played,62427,Siebert,Seidel,65,14,26
Poland,Slovakia,2021-06-14T18:00:00,2024454,final tournament,1,4,90,5,2,2,1,2,Played,250003363,Hategan,Ghinguleac,41,18,12
Spain,Sweden,2021-06-14T21:00:00,2024453,final tournament,1,4,90,7,2,2,0,0,Played,74459,Vincic,Klancnik,37,29,12
Hungary,Portugal,2021-06-15T18:00:00,2024455,final tournament,1,5,90,6,2,2,0,3,Played,250004078,Çakir,Duran,38,26,11
France,Germany,2021-06-15T21:00:00,2024456,final tournament,1,5,90,9,2,2,1,0,Played,85441,del Cerro Grande,Yuste,61,21,2
Finland,Russia,2021-06-16T15:00:00,2024460,final tournament,2,1,90,7,2,2,0,1,Played,250003363,Makkelie,Steegstra,38,19,16
Turkey,Wales,2021-06-16T18:00:00,2024457,final tournament,2,1,90,7,2,2,0,2,Played,250002745,Artur Dias,Rui Tavares,61,27,12
Italy,Switzerland,2021-06-16T21:00:00,2024458,final tournament,2,1,90,4,2,2,3,0,Played,57775,Karasev,Demeshko,69,25,7
Ukraine,North Macedonia,2021-06-17T15:00:00,2024444,final tournament,2,2,90,5,2,2,2,1,Played,250001298,NA,Belatti,55,26,10
Denmark,Belgium,2021-06-17T18:00:00,2024459,final tournament,2,2,90,6,2,2,1,2,Played,63462,Kuipers,Van Roekel,51,26,20
Netherlands,Austria,2021-06-17T21:00:00,2024443,final tournament,2,2,90,5,2,2,2,0,Played,62417,Grinfeld,Hassan,63,25,15
Sweden,Slovakia,2021-06-18T15:00:00,2024464,final tournament,2,3,90,7,2,2,1,0,Played,250003363,Siebert,Seidel,32,28,12
Croatia,Czech Republic,2021-06-18T18:00:00,2024462,final tournament,2,3,90,3,2,2,1,1,Played,62427,del Cerro Grande,Yuste,38,17,17
England,Scotland,2021-06-18T21:00:00,2024461,final tournament,2,3,90,3,2,2,0,0,Played,1100043,Mateu Lahoz,Cebrián Devís,91,14,22
Hungary,France,2021-06-19T15:00:00,2024465,final tournament,2,4,90,5,2,2,1,1,Played,250004078,Oliver,Burt,40,30,9
Portugal,Germany,2021-06-19T18:00:00,2024466,final tournament,2,4,90,5,2,2,2,4,Played,85441,Taylor,Beswick,36,31,6
Spain,Poland,2021-06-19T21:00:00,2024463,final tournament,2,4,90,5,2,2,1,1,Played,74459,Orsato,Giallatini,57,24,13
Italy,Wales,2021-06-20T18:00:00,2024468,final tournament,3,1,90,3,3,2,1,0,Played,57775,Hategan,Ghinguleac,36,29,10
Switzerland,Turkey,2021-06-20T18:00:00,2024467,final tournament,3,1,90,4,3,2,3,1,Played,250002745,Vincic,Klancnik,45,28,10
North Macedonia,Netherlands,2021-06-21T18:00:00,2024445,final tournament,3,2,90,4,3,2,0,3,Played,62417,Kovács,Marinescu,83,15,22
Ukraine,Austria,2021-06-21T18:00:00,2024446,final tournament,3,2,90,4,3,2,0,1,Played,250001298,Çakir,Duran,65,25,5
Finland,Belgium,2021-06-21T21:00:00,2024470,final tournament,3,2,90,4,3,2,0,2,Played,250003363,Brych,Borsch,54,29,4
Russia,Denmark,2021-06-21T21:00:00,2024469,final tournament,3,2,90,3,3,2,1,4,Played,63462,Turpin,Danos,69,18,19
Croatia,Scotland,2021-06-22T21:00:00,2024472,final tournament,3,3,90,5,3,2,3,1,Played,62427,NA,Belatti,51,15,17
Czech Republic,England,2021-06-22T21:00:00,2024471,final tournament,3,3,90,4,3,2,0,1,Played,1100043,Artur Dias,Rui Tavares,55,15,15
Slovakia,Spain,2021-06-23T18:00:00,2024473,final tournament,3,4,90,5,3,2,0,5,Played,74459,Kuipers,Van Roekel,22,30,7
Sweden,Poland,2021-06-23T18:00:00,2024474,final tournament,3,4,90,5,3,2,3,2,Played,250003363,Oliver,Burt,32,34,12
Germany,Hungary,2021-06-23T21:00:00,2024475,final tournament,3,4,90,5,3,2,2,2,Played,85441,Karasev,Demeshko,79,20,14
Portugal,France,2021-06-23T21:00:00,2024476,final tournament,3,4,90,6,3,2,2,2,Played,250004078,Mateu Lahoz,Cebrián Devís,51,30,4
Wales,Denmark,2021-06-26T18:00:00,2024478,eighth finals,4,1,90,7,5,2,0,4,Played,62417,Siebert,Seidel,62,23,14
Italy,Austria,2021-06-26T21:00:00,2024477,eighth finals,4,1,120,2,5,4,2,1,Played,1100043,Taylor,Beswick,60,20,12
Netherlands,Czech Republic,2021-06-27T18:00:00,2024480,eighth finals,4,2,90,7,5,2,0,2,Played,250004078,Karasev,Demeshko,36,31,9
Belgium,Portugal,2021-06-27T21:00:00,2024479,eighth finals,4,2,90,6,5,2,1,0,Played,74459,Brych,Borsch,27,28,14
Croatia,Spain,2021-06-28T18:00:00,2024482,eighth finals,4,3,120,2,5,4,3,5,Played,63462,Çakir,Duran,41,26,11
France,Switzerland,2021-06-28T21:00:00,2024481,eighth finals,4,3,120,10,5,5,3,3,Played,250001298,NA,Belatti,70,24,5
England,Germany,2021-06-29T18:00:00,2024484,eighth finals,4,4,90,5,5,2,2,0,Played,1100043,Makkelie,Steegstra,69,16,12
Sweden,Ukraine,2021-06-29T21:00:00,2024483,eighth finals,4,4,120,5,5,4,1,2,Played,62427,Orsato,Giallatini,53,22,8
Switzerland,Spain,2021-07-02T18:00:00,2024485,quarter finals,5,1,120,8,5,5,1,1,Played,250003363,Oliver,Burt,34,23,7
Belgium,Italy,2021-07-02T21:00:00,2024486,quarter finals,5,1,90,8,5,2,1,2,Played,85441,Vincic,Klancnik,58,17,10
Czech Republic,Denmark,2021-07-03T18:00:00,2024488,quarter finals,5,2,90,7,5,2,1,2,Played,250002745,Kuipers,Van Roekel,64,28,14
Ukraine,England,2021-07-03T21:00:00,2024487,quarter finals,5,2,90,1,5,2,0,4,Played,57775,Brych,Borsch,56,27,12
Italy,Spain,2021-07-06T21:00:00,2024489,semi finals,6,1,120,7,5,5,1,1,Played,1100043,Brych,Borsch,73,15,17
England,Denmark,2021-07-07T21:00:00,2024490,semi finals,6,2,120,2,5,4,2,1,Played,1100043,Makkelie,Steegstra,64,19,17
Italy,England,2021-07-11T21:00:00,2024491,final,7,1,120,9,2,5,1,1,Played,1100043,Kuipers,Van Roekel,68,19,13
