matches,match_id
germany-scotland,VTbslUb
hungary-switzerland,ZTbsjUb
croatia-spain,YTbspUb
italy-albania,PTbshUb
netherlands-poland,dUbsfUb
slovenia-denmark,BObsJOb
serbia-england,nUbsfCc
ukraine-romania,CObsbUb
belgium-slovakia,XTbsrUb
austria-france,GObstUb
georgia-turkey,aUbsnVb
czech-republic-portugal,eUbsoUb
croatia-albania,PTbspUb
germany-hungary,jUbslUb
switzerland-scotland,VTbsZTb
serbia-slovenia,JObsfCc
england-denmark,BObsnUb
italy-spain,YTbshUb
ukraine-slovakia,XTbsbUb
austria-poland,dUbstUb
netherlands-france,GObsfUb
georgia-czech-republic,oUbsnVb
portugal-turkey,aUbseUb
belgium-romania,CObsrUb
germany-switzerland,ZTbslUb
hungary-scotland,VTbsjUb
croatia-italy,hUbspUb
spain-albania,PTbsYTb
poland-france,GObsdUb
austria-netherlands,fUbstUb
england-slovenia,JObsnUb
serbia-denmark,BObsfCc
belgium-ukraine,bUbsrUb
slovakia-romania,CObsXTb
georgia-portugal,eUbsnVb
czech-republic-turkey,aUbsoUb
italy-switzerland,ZTbshUb
germany-denmark,BObslUb
england-slovakia,XTbsnUb
georgia-spain,YTbsnVb
belgium-france,GObsrUb
portugal-slovenia,JObseUb
netherlands-romania,CObsfUb
austria-turkey,aUbstUb