Date,HomeTeam,AwayTeam,FTHG,FTAG,GoalDifference,FTR,Tournament,CityVenue,CountryVenue,VenueNeutrality
2008-06-15,Switzerland,Portugal,2.0,0.0,2.0,2,UEFA Euro,Basel,Switzerland,False
2008-06-15,Turkey,Czech Republic,3.0,2.0,1.0,2,UEFA Euro,Geneva,Switzerland,True
2008-06-14,Sweden,Spain,1.0,2.0,-1.0,0,UEFA Euro,Innsbruck,Austria,True
2008-06-14,Greece,Russia,0.0,1.0,-1.0,0,UEFA Euro,Salzburg,Austria,True
2008-06-13,Italy,Romania,1.0,1.0,0.0,1,UEFA Euro,Zürich,Switzerland,True
2008-06-13,Netherlands,France,4.0,1.0,3.0,2,UEFA Euro,Berne,Switzerland,True
2008-06-12,Croatia,Germany,2.0,1.0,1.0,2,UEFA Euro,Klagenfurt,Austria,True
2008-06-12,Austria,Poland,1.0,1.0,0.0,1,UEFA Euro,Vienna,Austria,False
2008-06-11,Switzerland,Turkey,1.0,2.0,-1.0,0,UEFA Euro,Basel,Switzerland,False
2008-06-11,Czech Republic,Portugal,1.0,3.0,-2.0,0,UEFA Euro,Geneva,Switzerland,True
2008-06-10,Greece,Sweden,0.0,2.0,-2.0,0,UEFA Euro,Salzburg,Austria,True
2008-06-10,Spain,Russia,4.0,1.0,3.0,2,UEFA Euro,Innsbruck,Austria,True
2008-06-09,Romania,France,0.0,0.0,0.0,1,UEFA Euro,Zürich,Switzerland,True
2008-06-09,Netherlands,Italy,3.0,0.0,3.0,2,UEFA Euro,Berne,Switzerland,True
2008-06-08,Germany,Poland,2.0,0.0,2.0,2,UEFA Euro,Klagenfurt,Austria,True
2008-06-08,Austria,Croatia,0.0,1.0,-1.0,0,UEFA Euro,Vienna,Austria,False
2008-06-07,Portugal,Turkey,2.0,0.0,2.0,2,UEFA Euro,Geneva,Switzerland,True
2008-06-07,Switzerland,Czech Republic,0.0,1.0,-1.0,0,UEFA Euro,Basel,Switzerland,False
2004-07-04,Portugal,Greece,0.0,1.0,-1.0,0,UEFA Euro,Lisbon,Portugal,False
2004-07-01,Greece,Czech Republic,1.0,0.0,1.0,2,UEFA Euro,Porto,Portugal,True
2004-06-30,Portugal,Netherlands,2.0,1.0,1.0,2,UEFA Euro,Lisbon,Portugal,False
2004-06-27,Czech Republic,Denmark,3.0,0.0,3.0,2,UEFA Euro,Porto,Portugal,True
2004-06-26,Sweden,Netherlands,0.0,0.0,0.0,1,UEFA Euro,Faro,Portugal,True
2004-06-25,France,Greece,0.0,1.0,-1.0,0,UEFA Euro,Lisbon,Portugal,True
2004-06-24,Portugal,England,2.0,2.0,0.0,1,UEFA Euro,Lisbon,Portugal,False
2004-06-23,Netherlands,Latvia,3.0,0.0,3.0,2,UEFA Euro,Braga,Portugal,True
2004-06-23,Germany,Czech Republic,1.0,2.0,-1.0,0,UEFA Euro,Lisbon,Portugal,True
2004-06-22,Italy,Bulgaria,2.0,1.0,1.0,2,UEFA Euro,Guimarães,Portugal,True
2004-06-22,Denmark,Sweden,2.0,2.0,0.0,1,UEFA Euro,Porto,Portugal,True
2004-06-21,Switzerland,France,1.0,3.0,-2.0,0,UEFA Euro,Coimbra,Portugal,True
2004-06-21,Croatia,England,2.0,4.0,-2.0,0,UEFA Euro,Lisbon,Portugal,True
2004-06-20,Russia,Greece,2.0,1.0,1.0,2,UEFA Euro,Faro,Portugal,True
2004-06-20,Portugal,Spain,1.0,0.0,1.0,2,UEFA Euro,Lisbon,Portugal,False
2004-06-19,Netherlands,Czech Republic,2.0,3.0,-1.0,0,UEFA Euro,Aveiro,Portugal,True
2004-06-19,Latvia,Germany,0.0,0.0,0.0,1,UEFA Euro,Porto,Portugal,True
2004-06-18,Italy,Sweden,1.0,1.0,0.0,1,UEFA Euro,Porto,Portugal,True
2004-06-18,Bulgaria,Denmark,0.0,2.0,-2.0,0,UEFA Euro,Braga,Portugal,True
2004-06-17,England,Switzerland,3.0,0.0,3.0,2,UEFA Euro,Coimbra,Portugal,True
2004-06-17,Croatia,France,2.0,2.0,0.0,1,UEFA Euro,Leiria,Portugal,True
2004-06-16,Portugal,Russia,2.0,0.0,2.0,2,UEFA Euro,Lisbon,Portugal,False
2004-06-16,Greece,Spain,1.0,1.0,0.0,1,UEFA Euro,Porto,Portugal,True
2004-06-15,Germany,Netherlands,1.0,1.0,0.0,1,UEFA Euro,Porto,Portugal,True
2004-06-15,Czech Republic,Latvia,2.0,1.0,1.0,2,UEFA Euro,Aveiro,Portugal,True
2004-06-14,Sweden,Bulgaria,5.0,0.0,5.0,2,UEFA Euro,Lisbon,Portugal,True
2004-06-14,Denmark,Italy,0.0,0.0,0.0,1,UEFA Euro,Guimarães,Portugal,True
2004-06-13,Switzerland,Croatia,0.0,0.0,0.0,1,UEFA Euro,Leiria,Portugal,True
2004-06-13,France,England,2.0,1.0,1.0,2,UEFA Euro,Lisbon,Portugal,True
2004-06-12,Spain,Russia,1.0,0.0,1.0,2,UEFA Euro,Faro,Portugal,True
2004-06-12,Portugal,Greece,1.0,2.0,-1.0,0,UEFA Euro,Porto,Portugal,False
2000-07-02,France,Italy,2.0,1.0,1.0,2,UEFA Euro,Rotterdam,Netherlands,True
2000-06-29,Netherlands,Italy,0.0,0.0,0.0,1,UEFA Euro,Amsterdam,Netherlands,False
2000-06-28,France,Portugal,2.0,1.0,1.0,2,UEFA Euro,Brussels,Belgium,True
2000-06-25,Netherlands,Serbia,6.0,1.0,5.0,2,UEFA Euro,Rotterdam,Netherlands,False
2000-06-25,Spain,France,1.0,2.0,-1.0,0,UEFA Euro,Bruges,Belgium,True
2000-06-24,Italy,Romania,2.0,0.0,2.0,2,UEFA Euro,Brussels,Belgium,True
2000-06-24,Turkey,Portugal,0.0,2.0,-2.0,0,UEFA Euro,Amsterdam,Netherlands,True
2000-06-21,Serbia,Spain,3.0,4.0,-1.0,0,UEFA Euro,Bruges,Belgium,True
2000-06-21,Slovenia,Norway,0.0,0.0,0.0,1,UEFA Euro,Arnhem,Netherlands,True
2000-06-21,Denmark,Czech Republic,0.0,2.0,-2.0,0,UEFA Euro,Liège,Belgium,True
2000-06-21,Netherlands,France,3.0,2.0,1.0,2,UEFA Euro,Amsterdam,Netherlands,False
2000-06-20,Portugal,Germany,3.0,0.0,3.0,2,UEFA Euro,Rotterdam,Netherlands,True
2000-06-20,England,Romania,2.0,3.0,-1.0,0,UEFA Euro,Charleroi,Belgium,True
2000-06-19,Italy,Sweden,2.0,1.0,1.0,2,UEFA Euro,Eindhoven,Netherlands,True
2000-06-19,Belgium,Turkey,0.0,2.0,-2.0,0,UEFA Euro,Brussels,Belgium,False
2000-06-18,Slovenia,Spain,1.0,2.0,-1.0,0,UEFA Euro,Amsterdam,Netherlands,True
2000-06-18,Norway,Serbia,0.0,1.0,-1.0,0,UEFA Euro,Liège,Belgium,True
2000-06-17,Romania,Portugal,0.0,1.0,-1.0,0,UEFA Euro,Arnhem,Netherlands,True
2000-06-17,England,Germany,1.0,0.0,1.0,2,UEFA Euro,Charleroi,Belgium,True
2000-06-16,Netherlands,Denmark,3.0,0.0,3.0,2,UEFA Euro,Rotterdam,Netherlands,False
2000-06-16,Czech Republic,France,1.0,2.0,-1.0,0,UEFA Euro,Bruges,Belgium,True
2000-06-15,Sweden,Turkey,0.0,0.0,0.0,1,UEFA Euro,Eindhoven,Netherlands,True
2000-06-14,Belgium,Italy,0.0,2.0,-2.0,0,UEFA Euro,Brussels,Belgium,False
2000-06-13,Spain,Norway,0.0,1.0,-1.0,0,UEFA Euro,Rotterdam,Netherlands,True
2000-06-13,Serbia,Slovenia,3.0,3.0,0.0,1,UEFA Euro,Charleroi,Belgium,True
2000-06-12,Portugal,England,3.0,2.0,1.0,2,UEFA Euro,Eindhoven,Netherlands,True
2000-06-12,Germany,Romania,1.0,1.0,0.0,1,UEFA Euro,Liège,Belgium,True
2000-06-11,Netherlands,Czech Republic,1.0,0.0,1.0,2,UEFA Euro,Amsterdam,Netherlands,False
2000-06-11,Turkey,Italy,1.0,2.0,-1.0,0,UEFA Euro,Arnhem,Netherlands,True
2000-06-11,France,Denmark,3.0,0.0,3.0,2,UEFA Euro,Bruges,Belgium,True
2000-06-10,Belgium,Sweden,2.0,1.0,1.0,2,UEFA Euro,Brussels,Belgium,False
1996-06-30,Czech Republic,Germany,1.0,2.0,-1.0,0,UEFA Euro,London,England,True
1996-06-26,France,Czech Republic,0.0,0.0,0.0,1,UEFA Euro,Manchester,England,True
1996-06-26,England,Germany,1.0,1.0,0.0,1,UEFA Euro,London,England,False
1996-06-23,Germany,Croatia,2.0,1.0,1.0,2,UEFA Euro,Manchester,England,True
1996-06-23,Czech Republic,Portugal,1.0,0.0,1.0,2,UEFA Euro,Birmingham,England,True
1996-06-22,France,Netherlands,0.0,0.0,0.0,1,UEFA Euro,Liverpool,England,True
1996-06-22,England,Spain,0.0,0.0,0.0,1,UEFA Euro,London,England,False
1996-06-19,Turkey,Denmark,0.0,3.0,-3.0,0,UEFA Euro,Sheffield,England,True
1996-06-19,Russia,Czech Republic,3.0,3.0,0.0,1,UEFA Euro,Liverpool,England,True
1996-06-19,Italy,Germany,0.0,0.0,0.0,1,UEFA Euro,Manchester,England,True
1996-06-19,Croatia,Portugal,0.0,3.0,-3.0,0,UEFA Euro,Nottingham,England,True
1996-06-18,France,Bulgaria,3.0,1.0,2.0,2,UEFA Euro,Newcastle,England,True
1996-06-18,Scotland,Switzerland,1.0,0.0,1.0,2,UEFA Euro,Birmingham,England,True
1996-06-18,Romania,Spain,1.0,2.0,-1.0,0,UEFA Euro,Leeds,England,True
1996-06-18,England,Netherlands,4.0,1.0,3.0,2,UEFA Euro,London,England,False
1996-06-16,Russia,Germany,0.0,3.0,-3.0,0,UEFA Euro,Manchester,England,True
1996-06-16,Croatia,Denmark,3.0,0.0,3.0,2,UEFA Euro,Sheffield,England,True
1996-06-15,England,Scotland,2.0,0.0,2.0,2,UEFA Euro,London,England,False
1996-06-15,France,Spain,1.0,1.0,0.0,1,UEFA Euro,Leeds,England,True
1996-06-14,Portugal,Turkey,1.0,0.0,1.0,2,UEFA Euro,Nottingham,England,True
1996-06-14,Czech Republic,Italy,2.0,1.0,1.0,2,UEFA Euro,Liverpool,England,True
1996-06-13,Bulgaria,Romania,1.0,0.0,1.0,2,UEFA Euro,Newcastle,England,True
1996-06-13,Switzerland,Netherlands,0.0,2.0,-2.0,0,UEFA Euro,Birmingham,England,True
1996-06-11,Turkey,Croatia,0.0,1.0,-1.0,0,UEFA Euro,Nottingham,England,True
1996-06-11,Italy,Russia,2.0,1.0,1.0,2,UEFA Euro,Liverpool,England,True
1996-06-10,Romania,France,0.0,1.0,-1.0,0,UEFA Euro,Newcastle,England,True
1996-06-10,Netherlands,Scotland,0.0,0.0,0.0,1,UEFA Euro,Birmingham,England,True
1996-06-09,Denmark,Portugal,1.0,1.0,0.0,1,UEFA Euro,Sheffield,England,True
1996-06-09,Spain,Bulgaria,1.0,1.0,0.0,1,UEFA Euro,Leeds,England,True
1996-06-09,Germany,Czech Republic,2.0,0.0,2.0,2,UEFA Euro,Manchester,England,True
1996-06-08,England,Switzerland,1.0,1.0,0.0,1,UEFA Euro,London,England,False
1992-06-26,Denmark,Germany,2.0,0.0,2.0,2,UEFA Euro,Gothenburg,Sweden,True
1992-06-22,Netherlands,Denmark,2.0,2.0,0.0,1,UEFA Euro,Gothenburg,Sweden,True
1992-06-21,Sweden,Germany,2.0,3.0,-1.0,0,UEFA Euro,Solna,Sweden,False
1992-06-18,Netherlands,Germany,3.0,1.0,2.0,2,UEFA Euro,Gothenburg,Sweden,True
1992-06-18,Scotland,Russia,3.0,0.0,3.0,2,UEFA Euro,Norrköping,Sweden,True
1992-06-17,Sweden,England,2.0,1.0,1.0,2,UEFA Euro,Solna,Sweden,False
1992-06-17,France,Denmark,1.0,2.0,-1.0,0,UEFA Euro,Malmö,Sweden,True
1992-06-15,Netherlands,Russia,0.0,0.0,0.0,1,UEFA Euro,Gothenburg,Sweden,True
1992-06-15,Scotland,Germany,0.0,2.0,-2.0,0,UEFA Euro,Norrköping,Sweden,True
1992-06-14,France,England,0.0,0.0,0.0,1,UEFA Euro,Malmö,Sweden,True
1992-06-14,Sweden,Denmark,1.0,0.0,1.0,2,UEFA Euro,Solna,Sweden,False
1992-06-12,Netherlands,Scotland,1.0,0.0,1.0,2,UEFA Euro,Gothenburg,Sweden,True
1992-06-12,Russia,Germany,1.0,1.0,0.0,1,UEFA Euro,Norrköping,Sweden,True
1992-06-11,Denmark,England,0.0,0.0,0.0,1,UEFA Euro,Malmö,Sweden,True
1992-06-10,Sweden,France,1.0,1.0,0.0,1,UEFA Euro,Solna,Sweden,False
1988-06-25,Russia,Netherlands,0.0,2.0,-2.0,0,UEFA Euro,Munich,Germany,True
1988-06-22,Russia,Italy,2.0,0.0,2.0,2,UEFA Euro,Stuttgart,Germany,True
1988-06-21,Germany,Netherlands,1.0,2.0,-1.0,0,UEFA Euro,Hamburg,Germany,False
1988-06-18,England,Russia,1.0,3.0,-2.0,0,UEFA Euro,Frankfurt am Main,Germany,True
1988-06-18,Republic of Ireland,Netherlands,0.0,1.0,-1.0,0,UEFA Euro,Gelsenkirchen,Germany,True
1988-06-17,Germany,Spain,2.0,0.0,2.0,2,UEFA Euro,Munich,Germany,False
1988-06-17,Italy,Denmark,2.0,0.0,2.0,2,UEFA Euro,Cologne,Germany,True
1988-06-15,England,Netherlands,1.0,3.0,-2.0,0,UEFA Euro,Düsseldorf,Germany,True
1988-06-15,Republic of Ireland,Russia,1.0,1.0,0.0,1,UEFA Euro,Hanover,Germany,True
1988-06-14,Italy,Spain,1.0,0.0,1.0,2,UEFA Euro,Frankfurt am Main,Germany,True
1988-06-14,Germany,Denmark,2.0,0.0,2.0,2,UEFA Euro,Gelsenkirchen,Germany,False
1988-06-12,England,Republic of Ireland,0.0,1.0,-1.0,0,UEFA Euro,Stuttgart,Germany,True
1988-06-12,Netherlands,Russia,0.0,1.0,-1.0,0,UEFA Euro,Cologne,Germany,True
1988-06-11,Denmark,Spain,2.0,3.0,-1.0,0,UEFA Euro,Hanover,Germany,True
1988-06-10,Germany,Italy,1.0,1.0,0.0,1,UEFA Euro,Düsseldorf,Germany,False
1984-06-27,France,Spain,2.0,0.0,2.0,2,UEFA Euro,Paris,France,False
1984-06-24,Denmark,Spain,1.0,1.0,0.0,1,UEFA Euro,Lyon,France,True
1984-06-23,France,Portugal,3.0,2.0,1.0,2,UEFA Euro,Marseille,France,False
1984-06-20,Germany,Spain,0.0,1.0,-1.0,0,UEFA Euro,Paris,France,True
1984-06-20,Portugal,Romania,1.0,0.0,1.0,2,UEFA Euro,Nantes,France,True
1984-06-19,Denmark,Belgium,3.0,2.0,1.0,2,UEFA Euro,Strasbourg,France,True
1984-06-19,France,Yugoslavia,3.0,2.0,1.0,2,UEFA Euro,Saint-Étienne,France,False
1984-06-17,Portugal,Spain,1.0,1.0,0.0,1,UEFA Euro,Marseille,France,True
1984-06-17,Germany,Romania,2.0,1.0,1.0,2,UEFA Euro,Lens,France,True
1984-06-16,France,Belgium,5.0,0.0,5.0,2,UEFA Euro,Nantes,France,False
1984-06-16,Denmark,Yugoslavia,5.0,0.0,5.0,2,UEFA Euro,Lyon,France,True
1984-06-14,Romania,Spain,1.0,1.0,0.0,1,UEFA Euro,Saint-Étienne,France,True
1984-06-14,Germany,Portugal,0.0,0.0,0.0,1,UEFA Euro,Strasbourg,France,True
1984-06-13,Belgium,Yugoslavia,2.0,0.0,2.0,2,UEFA Euro,Lens,France,True
1984-06-12,France,Denmark,1.0,0.0,1.0,2,UEFA Euro,Paris,France,False
1980-06-22,Belgium,Germany,1.0,2.0,-1.0,0,UEFA Euro,Rome,Italy,True
1980-06-21,Italy,Czechoslovakia,1.0,1.0,0.0,1,UEFA Euro,Naples,Italy,False
1980-06-18,Spain,England,1.0,2.0,-1.0,0,UEFA Euro,Naples,Italy,True
1980-06-18,Italy,Belgium,0.0,0.0,0.0,1,UEFA Euro,Rome,Italy,False
1980-06-17,Netherlands,Czechoslovakia,1.0,1.0,0.0,1,UEFA Euro,Milan,Italy,True
1980-06-17,Greece,Germany,0.0,0.0,0.0,1,UEFA Euro,Turin,Italy,True
1980-06-15,Italy,England,1.0,0.0,1.0,2,UEFA Euro,Turin,Italy,False
1980-06-15,Belgium,Spain,2.0,1.0,1.0,2,UEFA Euro,Milan,Italy,True
1980-06-14,Greece,Czechoslovakia,1.0,3.0,-2.0,0,UEFA Euro,Rome,Italy,True
1980-06-14,Germany,Netherlands,3.0,2.0,1.0,2,UEFA Euro,Naples,Italy,True
1980-06-12,Belgium,England,1.0,1.0,0.0,1,UEFA Euro,Turin,Italy,True
1980-06-12,Italy,Spain,0.0,0.0,0.0,1,UEFA Euro,Milan,Italy,False
1980-06-11,Netherlands,Greece,1.0,0.0,1.0,2,UEFA Euro,Naples,Italy,True
1980-06-11,Czechoslovakia,Germany,0.0,1.0,-1.0,0,UEFA Euro,Rome,Italy,True
1976-06-20,Czechoslovakia,Germany,2.0,2.0,0.0,1,UEFA Euro,Belgrade,Yugoslavia,True
1976-06-19,Yugoslavia,Netherlands,2.0,3.0,-1.0,0,UEFA Euro,Zagreb,Yugoslavia,False
1976-06-17,Yugoslavia,Germany,2.0,4.0,-2.0,0,UEFA Euro,Belgrade,Yugoslavia,False
1976-06-16,Czechoslovakia,Netherlands,3.0,1.0,2.0,2,UEFA Euro,Zagreb,Yugoslavia,True
1972-06-18,Germany,Russia,3.0,0.0,3.0,2,UEFA Euro,Brussels,Belgium,True
1972-06-17,Belgium,Hungary,2.0,1.0,1.0,2,UEFA Euro,Liège,Belgium,False
1972-06-14,Belgium,Germany,1.0,2.0,-1.0,0,UEFA Euro,Antwerp,Belgium,False
1972-06-14,Hungary,Russia,0.0,1.0,-1.0,0,UEFA Euro,Brussels,Belgium,True
1968-06-10,Italy,Yugoslavia,2.0,0.0,2.0,2,UEFA Euro,Rome,Italy,False
1968-06-08,England,Russia,2.0,0.0,2.0,2,UEFA Euro,Rome,Italy,True
1968-06-08,Italy,Yugoslavia,1.0,1.0,0.0,1,UEFA Euro,Rome,Italy,False
1968-06-05,Italy,Russia,0.0,0.0,0.0,1,UEFA Euro,Naples,Italy,False
1968-06-05,England,Yugoslavia,0.0,1.0,-1.0,0,UEFA Euro,Florence,Italy,True
1964-06-21,Spain,Russia,2.0,1.0,1.0,2,UEFA Euro,Madrid,Spain,False
1964-06-20,Hungary,Denmark,3.0,1.0,2.0,2,UEFA Euro,Barcelona,Spain,True
1964-06-17,Spain,Hungary,2.0,1.0,1.0,2,UEFA Euro,Madrid,Spain,False
1964-06-17,Denmark,Russia,0.0,3.0,-3.0,0,UEFA Euro,Barcelona,Spain,True
1960-07-10,Russia,Yugoslavia,2.0,1.0,1.0,2,UEFA Euro,Paris,France,True
1960-07-09,France,Czechoslovakia,0.0,2.0,-2.0,0,UEFA Euro,Marseille,France,False
1960-07-06,Czechoslovakia,Russia,0.0,3.0,-3.0,0,UEFA Euro,Marseille,France,True
1960-07-06,France,Yugoslavia,4.0,5.0,-1.0,0,UEFA Euro,Paris,France,False
